ID,PHYSICAL_TABLE_NAME,NAME,ESPACE_ID,SS_KEY,MULTITENANT,MULTITENANT_VIEW,IS_ACTIVE,IS_SYSTEM,IS_EXTERNAL,PRIMARYKEY_SS_KEY,DESCRIPTION,Extension_Id,GENERATION,Is_Active_Attribute,Label_Attribute,Order_By_Attribute,Data_Kind,Multilingual,Multilingual_Table_Name,Expose_Process_Events,Event_Table_Name,Base_View_Name,LOGICALDATABASE
1,OSSYS_DEVELOPER_DBCONNECTION,Developer_DBConnection,1,00e3dccf-ccdd-c43d-8f82-46b4944dfbe9,0,0,1,1,0,4f6172ab-95d5-70d7-008c-52ac798c7c5b,Service Center users and roles permissions  for each external database.,NULL,0,,,,entity,0,,0,OSEVT_DEVELOPER_DBCONNECTION,,
2,OSSYS_USER_EFFECTIVE_ROLE,User_Effective_Role,1,019da2bb-5294-49ef-98d4-411fab60cb2a,1,0,1,1,0,,Read-only view containing user specific roles (either direct or via user groups).,NULL,0,,,,entity,0,,0,OSEVT_USER_EFFECTIVE_ROLE,OSSYS_USEREFFROLE,
3,OSSYS_BPM_ACTIVITY_DEF_LINK,Activity_Def_Link,1,03b269cd-51fc-806b-c0b4-b8bc690510f2,0,0,1,1,0,4fe6b986-993a-4d1f-4d25-a9b12540243b,Process activity relations (links between activities in service studio). Only contain links valid for the current model.,NULL,0,88215c85-68ee-c4db-4576-afc58e53520c,,,entity,0,,0,OSEVT_BPM_ACTIVITY_DEF_LINK,,
4,OSSYS_ENTITY_RECORD,Entity_Record,1,054daef5-02a3-12a0-3d11-49636b6e3111,0,0,1,1,0,9f1ab84f-54e2-3cb8-905f-05e06f7c6a73,Records for each static entity defined in Service Studio. Older records are kept as inactive.,NULL,0,fd5fd994-6b14-6c53-34a7-ae5a32e0f32e,f00439f7-900f-897c-d07a-e07c6635bb13,,entity,0,,0,OSEVT_ENTITY_RECORD,,
5,OSSYS_REPORT_SLOWTIMER,Report_Slow_Timer,1,06c272c5-ca92-d0fd-875c-e32bd560408f,0,0,1,1,0,,Service Center analytics report details,NULL,0,,,,entity,0,,0,OSEVT_REPORT_SLOWTIMER,,
6,OSSYS_EXTENSION_CONFIGURATION,Extension_Configuration,1,06d98f6f-71d0-b8ce-4b25-cdf288a64ff5,0,0,1,1,0,f922e98b-2151-b6d6-5962-61c7efacd30b,Internal use only.,NULL,0,,,,entity,0,,0,OSEVT_EXTENSION_CONFIGURATION,,
7,OSSYS_Product,Product,1,0a5e1794-4c79-44d0-b17c-51eb75b71e8f,0,0,1,1,0,b98e83ea-919f-432e-9bd4-eb64bb1b1fc7,Internal use only.,NULL,0,,,,entity,0,,0,OSEVT_Product,,
8,OSSYS_SOLUTION_PACK,Solution_Pack,1,0c189ebe-5e50-10c4-1178-186873b0cb1f,0,0,1,1,0,092b3bb8-14ba-a031-fb45-e4e58c9d71fa,Solution binary content.,NULL,0,,,,entity,0,,0,OSEVT_SOLUTION_PACK,,
9,OSSYS_PLATFORMSVCS_NOTIFYEVEN,PlatformServices_NotifyEventType,1,0d063c0d-31d0-4271-a774-721a0a9b001c,0,0,1,1,0,b5db5ac4-5ed0-4825-97f1-61d7791fb995,"Internal use only. If you change this entity, change the one in LifeTimeengine that is kept in sync with this one.",NULL,0,,98ade4c6-2dcd-4014-9169-73ba9326eba6,b5db5ac4-5ed0-4825-97f1-61d7791fb995,staticEntity,0,,0,OSEVT_PLATFORMSVCS_NOTIFYEVEN,,
10,OSSYS_BPM_ACTIVITY_OUTPUT,Activity_Output,1,0fbe83f1-7a78-4e69-9f6d-50b6dc4bb00a,1,1,1,1,0,486b99fb-075c-4946-b871-73de652b7933,Output parameter effective values for each process activity instance.,NULL,0,,,,entity,0,,0,OSEVT_BPM_ACTIVITY_OUTPUT,OSSYS_ACT_OUT,
