ID,NAME,IS_MULTITENANT,IS_ACTIVE,SS_KEY,IS_SYSTEM,VERSION_ID,IS_CONSISTENT,ZONE_ID,IS_USER_PROVIDER,USER_PROVIDER_NAME,USER_PROVIDER_KEY,Is_Locked,Locked_Date,DBCatalog_Id,PENDING_VERSION_ID,HMAC,HMACVersion,EspaceKind
1,ServiceCenter,0,1,478870b9-2d60-4f73-9eb3-7cd8b994a737,1,2284,1,NULL,1,,,0,1900-01-01 0:00:00,1,NULL,LNKBhWUhHsAOEc3Mu39hGHmK7S4=,11.38.0.45971,WebResponsive
4,ECT_Provider,0,1,50957770-1dd0-42bf-9fcb-c57953b87ce1,0,395085,1,NULL,0,Users,65106059-0439-4be5-b011-2f01fba4afa6,0,1900-01-01 0:00:00,1,NULL,KlCoapU4DYO+w0a9I6s8xD3Q0H0=,11.38.0.45971,WebResponsive
5,EPA_Taskbox,1,1,460089c7-af3d-437a-ab33-a93fa9d39bab,0,395086,1,NULL,0,Users,65106059-0439-4be5-b011-2f01fba4afa6,0,1900-01-01 0:00:00,1,NULL,8s45Qq7P5ZPAFR+mkAXvRfXpFXQ=,11.38.0.45971,WebResponsive
6,RichWidgets,1,1,83a014b3-10da-4246-8a97-22af7b3aa32a,0,395091,1,NULL,0,Users,65106059-0439-4be5-b011-2f01fba4afa6,0,1900-01-01 0:00:00,1,NULL,Wc3hSeeZmStwRPLJAHiDD+12OrQ=,11.38.0.45971,WebResponsive
7,Users,1,1,65106059-0439-4be5-b011-2f01fba4afa6,0,395094,1,7,1,,,0,1900-01-01 0:00:00,1,NULL,f9IcUL2fIDD6DKoE1hw+XxlrTMM=,11.38.0.45971,WebResponsive
21,W_Theme_UI,0,1,a0b6936f-8b0f-4861-83af-93014a892812,0,413800,1,6,1,,,0,1900-01-01 0:00:00,1,NULL,kS209RhEk+CRWsNXcgmZMWkXyu8=,11.38.0.45971,Service
42,Countries,0,1,21bbdc03-f05e-445d-97ce-0279f530ed01,0,355314,1,10,0,W_Theme_UI,a0b6936f-8b0f-4861-83af-93014a892812,0,1900-01-01 0:00:00,1,NULL,CjHUuoyS6ridLa/ARPwWrqaelzE=,11.38.0.45971,Service
50,CKEditor_UI,0,1,1a836d12-19ce-4cc8-81bf-20155c97b0c3,0,389441,1,10,0,W_Theme_UI,a0b6936f-8b0f-4861-83af-93014a892812,0,1900-01-01 0:00:00,1,NULL,CRUMacGm9QdwDM1Mz3KwkkeiS4I=,11.38.0.45971,WebResponsive
51,WorldTimezone_LS,0,1,b2bafd32-5585-426a-8b31-ef3b9fceddd1,0,381127,1,7,0,W_Theme_UI,a0b6936f-8b0f-4861-83af-93014a892812,0,1900-01-01 0:00:00,1,NULL,HQbcQD6OpmBPxputDn+6yvKpgFU=,11.38.0.45971,Service
54,ProgressBar,0,1,3edd8012-d29b-4b97-8a3e-da8cfb515059,0,278701,1,7,0,W_Theme_UI,a0b6936f-8b0f-4861-83af-93014a892812,0,1900-01-01 0:00:00,1,NULL,9E6T0QC0m0lM0VOkqkIykGdMJ6w=,11.38.0.45971,WebResponsive
58,ChartingServicesCore,1,1,aa9f7efd-14a7-431f-8a9a-4d5cb73ec446,0,395083,1,NULL,0,Users,65106059-0439-4be5-b011-2f01fba4afa6,0,1900-01-01 0:00:00,1,NULL,ZC8q8t92mm8ldtDyewQ6WkaPcNI=,11.38.0.45971,WebResponsive
64,RichWidgets_Override,0,1,3e655d1e-93b5-403e-a0ac-d2e24f839dbd,0,234897,1,6,0,W_Theme_UI,a0b6936f-8b0f-4861-83af-93014a892812,0,1900-01-01 0:00:00,1,NULL,NLeVEPQgqYsoij0BEKrI93t/BdM=,11.38.0.45971,WebResponsive
78,Financial_CS,0,1,f2263ce5-4be7-4357-bdae-72dc2e0f27da,0,416397,1,6,0,W_Theme_UI,a0b6936f-8b0f-4861-83af-93014a892812,0,1900-01-01 0:00:00,1,NULL,PII8QTEI2jOMonjJ/0kvkafRgcM=,11.38.0.45971,Service
81,ElasticInput(deleted0),0,0,0a150116-6622-4c79-8a5d-38bcc4447fd7,0,394107,1,7,0,W_Theme_UI,a0b6936f-8b0f-4861-83af-93014a892812,0,1900-01-01 0:00:00,NULL,NULL,BjQsJszBf6ytDKYHJA1KlYgCuto=,11.38.0.45971,WebResponsive
89,DiffEntityDataToText_LS,0,1,c419e10a-acbe-47c1-bc9e-7c46b4fc3f52,0,386178,1,7,0,W_Theme_UI,a0b6936f-8b0f-4861-83af-93014a892812,0,1900-01-01 0:00:00,1,NULL,uuAdEY+TdX5AZjPYjyVgmiQyrAA=,11.38.0.45971,Service
106,OutSystemsChartsWeb,0,1,61ec01b9-b03d-42c2-99d7-0acddcf2227d,0,299394,1,NULL,0,Users,65106059-0439-4be5-b011-2f01fba4afa6,0,1900-01-01 0:00:00,1,NULL,yQTyUBcC8OhE9/2XVHu06hkc2+c=,11.38.0.45971,WebResponsive
107,PerformanceProbe,0,1,d5ed390b-6ced-4f50-99cc-f6ea0f2e37cd,0,395088,1,NULL,0,ServiceCenter,478870b9-2d60-4f73-9eb3-7cd8b994a737,0,1900-01-01 0:00:00,1,NULL,GDeWkVoSh/I5y2W6fZpEs6EWHR4=,11.38.0.45971,WebResponsive
120,ConigentUtilities(deleted0),0,0,ee9e3dc4-b49a-4b45-9155-921ed05171c9,0,399041,1,6,0,W_Theme_UI,a0b6936f-8b0f-4861-83af-93014a892812,0,1900-01-01 0:00:00,NULL,NULL,YPqNlGj8TSEnVe6Q+cgGFGp6Xkw=,11.38.0.45971,WebResponsive
126,Chosen(deleted0),0,0,56c793e1-906d-4a1b-b68c-761c93a31746,0,394150,1,6,0,W_Theme_UI,a0b6936f-8b0f-4861-83af-93014a892812,0,1900-01-01 0:00:00,NULL,NULL,yztGogbDqZ37nJBNRyYKUZPPIF8=,11.38.0.45971,WebResponsive
132,PreviewInDevices,0,1,0ea09e7f-1650-476f-b19d-d35f9e3a2e2d,0,395089,1,NULL,0,ServiceCenter,478870b9-2d60-4f73-9eb3-7cd8b994a737,0,1900-01-01 0:00:00,1,NULL,amGLJEghnCTTefDT5to5DkLBFOQ=,11.38.0.45971,WebResponsive
134,Signature(deleted0),0,0,7aedf79b-d054-40b7-ae48-69584d0cc05d,0,412950,1,7,0,W_Theme_UI,a0b6936f-8b0f-4861-83af-93014a892812,0,1900-01-01 0:00:00,NULL,NULL,q8BHYW5qTbdYBonOiieGP8yzoxc=,11.38.0.45971,WebResponsive
135,HtmlToPdfConverter_LS,0,1,2952164e-2658-443a-b35f-d74f71179ab0,0,252342,1,7,0,W_Theme_UI,a0b6936f-8b0f-4861-83af-93014a892812,0,1900-01-01 0:00:00,1,NULL,gS6PU3mctb3UWruFtqek6SAtJAw=,11.38.0.45971,Service
151,Firestore_AP,0,1,d38fc8a6-6a4b-49e9-97b4-31b8742d6617,0,414666,1,6,0,W_Theme_UI,a0b6936f-8b0f-4861-83af-93014a892812,0,1900-01-01 0:00:00,1,NULL,Jy01bDBrL8W4/QI3DN3n/Pi8DgM=,11.38.0.45971,WebResponsive
155,DBCleaner_API,0,1,35feff20-6a70-4e63-8eac-74dc1c008405,0,395084,1,NULL,0,ServiceCenter,478870b9-2d60-4f73-9eb3-7cd8b994a737,0,1900-01-01 0:00:00,1,NULL,xXenXMhmVvlIdrnUtoy9EWaCfIw=,11.38.0.45971,WebResponsive
171,SilkUIFramework,0,1,d32d4cff-9e20-42ed-a320-09c49faf8489,0,234904,1,10,0,Users,65106059-0439-4be5-b011-2f01fba4afa6,0,1900-01-01 0:00:00,1,NULL,TNc63MLE8b8oV9/fxVAPEEoLBO0=,11.38.0.45971,WebResponsive
177,ADAuthProvider,0,1,9e6b0cab-40f1-4b62-a5ed-48fc45859c50,0,395082,1,NULL,0,ServiceCenter,478870b9-2d60-4f73-9eb3-7cd8b994a737,0,1900-01-01 0:00:00,1,NULL,p+zSq+57GmDOyqhzhMx5g0hBg3U=,11.38.0.45971,WebResponsive
178,LDAPAuthProvider,0,1,2813b865-3527-43a8-b198-90cd7dffc21b,0,395087,1,NULL,0,ServiceCenter,478870b9-2d60-4f73-9eb3-7cd8b994a737,0,1900-01-01 0:00:00,1,NULL,b93uqfmwP59VNH5POhm3xW6QeLk=,11.38.0.45971,WebResponsive
190,Role_LS,0,1,37538a89-4d8d-4757-8c0e-6c0f02df6265,0,411954,1,7,0,W_Theme_UI,a0b6936f-8b0f-4861-83af-93014a892812,0,1900-01-01 0:00:00,1,NULL,LtVK0IysrUw3qcR85E06VSMY1O0=,11.38.0.45971,Service
193,Coachboard(deleted0),0,0,7c48e062-2e7e-464b-91a6-631e9fb5aec5,0,393663,1,6,0,W_Theme_UI,a0b6936f-8b0f-4861-83af-93014a892812,0,1900-01-01 0:00:00,NULL,NULL,7OZWKq6IZRVKQY0K1N770JFiyqc=,11.38.0.45971,WebResponsive
194,WOD(deleted0),0,0,e644a60d-f6c8-4985-af94-13e08c3fb509,0,393944,1,6,0,W_Theme_UI,a0b6936f-8b0f-4861-83af-93014a892812,0,1900-01-01 0:00:00,NULL,NULL,hP87Cawuhm96ypmDqXPFC1+UTbs=,11.38.0.45971,WebResponsive
195,Performance_UI(deleted0),0,0,dfe71e7f-21cb-4636-b87a-809c8ce82e70,0,414678,1,6,0,W_Theme_UI,a0b6936f-8b0f-4861-83af-93014a892812,0,1900-01-01 0:00:00,NULL,NULL,7EtaZ3bUw7IMxm8v0b5xEKDnafg=,11.38.0.45971,WebResponsive
196,Coachboard_UI(deleted0),0,0,703a09ac-46af-425d-b2ba-54832627411c,0,393691,1,6,0,W_Theme_UI,a0b6936f-8b0f-4861-83af-93014a892812,0,1900-01-01 0:00:00,NULL,NULL,dWdssAwarKpMkW/gMVXDNAzL9zA=,11.38.0.45971,WebResponsive
